Commodity,Date,Unit,Minimum,Maximum,Average
Pointed Gourd(Local),2023-11-05,Kg,52,73,62
Snake Gourd,2023-11-05,Kg,44,58,51
Sponge Gourd,2023-11-05,Kg,47,79,63
Pumpkin,2023-11-05,Kg,29,42,35
Squash(Long),2023-11-05,Kg,35,53,44
Okra,2023-11-05,Kg,62,77,69
Arum,2023-11-05,Kg,52,75,63
Barela,2023-11-05,Kg,34,47,40
Radish Red,2023-11-05,Kg,26,43,34
Mushroom(Button),2023-11-05,Kg,288,365,326
Mushroom(Kanya),2023-11-05,Kg,112,188,150
Spinach Leaf,2023-11-05,Kg,75,99,87
Mustard Leaf,2023-11-05,Kg,31,56,43
Coriander,2023-11-05,Kg,123,222,172
Garlic Dry Nepali,2023-11-05,Kg,178,222,200
Garlic Dry Chinese,2023-11-05,Kg,216,286,251
Ginger,2023-11-05,Kg,117,181,149
Chilly Green,2023-11-05,Kg,65,103,84
Capsicum,2023-11-05,Kg,80,119,99
Cucumber(Local),2023-11-05,Kg,45,72,58
Apple(Jholey),2023-11-05,Kg,131,213,172
Banana,2023-11-05,Dozen,87,118,102
Pomegranate,2023-11-05,Kg,197,319,258
Orange(Nepali),2023-11-05,Kg,68,122,95
Papaya(Indian),2023-11-05,Kg,61,100,80
Tomato Big(Nepali),2023-11-06,Kg,30,54,42
Tomato Small(Local),2023-11-06,Kg,25,41,33
Potato Red,2023-11-06,Kg,42,62,52
Potato White,2023-11-06,Kg,35,52,43
Onion Dry (Indian),2023-11-06,Kg,47,85,66
Carrot(Local),2023-11-06,Kg,63,101,82
Cabbage(Local),2023-11-06,Kg,23,40,31
Cauliflower Local,2023-11-06,Kg,44,75,59
Raddish White(Local),2023-11-06,Kg,18,30,24
Brinjal Long,2023-11-06,Kg,34,54,44
Cow pea(Long),2023-11-06,Kg,63,86,74
Green Peas,2023-11-06,Kg,104,128,116
French Bean(Local),2023-11-06,Kg,45,71,58
Bitter Gourd,2023-11-06,Kg,61,100,80
Bottle Gourd,2023-11-06,Kg,35,53,44
Pointed Gourd(Local),2023-11-06,Kg,48,79,63
Snake Gourd,2023-11-06,Kg,38,65,51
Sponge Gourd,2023-11-06,Kg,48,70,59
Pumpkin,2023-11-06,Kg,27,43,35
Squash(Long),2023-11-06,Kg,33,50,41
Okra,2023-11-06,Kg,61,81,71
Arum,2023-11-06,Kg,53,73,63
Barela,2023-11-06,Kg,36,47,41
Radish Red,2023-11-06,Kg,23,42,32
Mushroom(Button),2023-11-06,Kg,298,378,338
Mushroom(Kanya),2023-11-06,Kg,119,184,151
Spinach Leaf,2023-11-06,Kg,79,112,95
Mustard Leaf,2023-11-06,Kg,33,50,41
Coriander,2023-11-06,Kg,121,221,171
Garlic Dry Nepali,2023-11-06,Kg,175,265,220
Garlic Dry Chinese,2023-11-06,Kg,224,303,263
Ginger,2023-11-06,Kg,137,179,158
Chilly Green,2023-11-06,Kg,60,108,84
Capsicum,2023-11-06,Kg,75,122,98
Cucumber(Local),2023-11-06,Kg,51,72,61
Apple(Jholey),2023-11-06,Kg,114,232,173
Banana,2023-11-06,Dozen,81,113,97
Pomegranate,2023-11-06,Kg,191,323,257
Orange(Nepali),2023-11-06,Kg,67,124,95
Papaya(Indian),2023-11-06,Kg,61,103,82
Tomato Big(Nepali),2023-11-07,Kg,32,51,41
Tomato Small(Local),2023-11-07,Kg,26,44,35
Potato Red,2023-11-07,Kg,43,56,49
Potato White,2023-11-07,Kg,35,50,42
Onion Dry (Indian),2023-11-07,Kg,50,76,63
Carrot(Local),2023-11-07,Kg,73,91,82
Cabbage(Local),2023-11-07,Kg,25,42,33
Cauliflower Local,2023-11-07,Kg,40,77,58
Raddish White(Local),2023-11-07,Kg,15,33,24
Brinjal Long,2023-11-07,Kg,36,56,46
Cow pea(Long),2023-11-07,Kg,54,80,67
Green Peas,2023-11-07,Kg,108,134,121
French Bean(Local),2023-11-07,Kg,46,77,61
Bitter Gourd,2023-11-07,Kg,66,106,86
Bottle Gourd,2023-11-07,Kg,30,47,38
Pointed Gourd(Local),2023-11-07,Kg,54,84,69
Snake Gourd,2023-11-07,Kg,44,56,50
Sponge Gourd,2023-11-07,Kg,51,72,61
Pumpkin,2023-11-07,Kg,27,42,34
Squash(Long),2023-11-07,Kg,33,56,44
Okra,2023-11-07,Kg,56,85,70
Arum,2023-11-07,Kg,48,72,60
Barela,2023-11-07,Kg,33,47,40
Radish Red,2023-11-07,Kg,23,37,30
Mushroom(Button),2023-11-07,Kg,275,367,321
Mushroom(Kanya),2023-11-07,Kg,115,185,150
Spinach Leaf,2023-11-07,Kg,76,111,93
Mustard Leaf,2023-11-07,Kg,33,52,42
Coriander,2023-11-07,Kg,114,227,170
Garlic Dry Nepali,2023-11-07,Kg,174,235,204
Garlic Dry Chinese,2023-11-07,Kg,227,286,256
Ginger,2023-11-07,Kg,128,186,157
Chilly Green,2023-11-07,Kg,61,109,85
Capsicum,2023-11-07,Kg,91,120,105
Cucumber(Local),2023-11-07,Kg,54,74,64
Apple(Jholey),2023-11-07,Kg,132,213,172
Banana,2023-11-07,Dozen,90,124,107
Pomegranate,2023-11-07,Kg,200,308,254
Orange(Nepali),2023-11-07,Kg,65,125,95
Papaya(Indian),2023-11-07,Kg,72,89,80
Tomato Big(Nepali),2023-11-08,Kg,32,53,42
Tomato Small(Local),2023-11-08,Kg,26,47,36
Potato Red,2023-11-08,Kg,38,58,48
Potato White,2023-11-08,Kg,31,50,40
Onion Dry (Indian),2023-11-08,Kg,48,73,60
Carrot(Local),2023-11-08,Kg,66,102,84
Cabbage(Local),2023-11-08,Kg,25,36,30
Cauliflower Local,2023-11-08,Kg,44,77,60
Raddish White(Local),2023-11-08,Kg,16,29,22
Brinjal Long,2023-11-08,Kg,39,60,49
Cow pea(Long),2023-11-08,Kg,64,85,74
Green Peas,2023-11-08,Kg,104,136,120
French Bean(Local),2023-11-08,Kg,47,81,64
Bitter Gourd,2023-11-08,Kg,66,98,82
Bottle Gourd,2023-11-08,Kg,31,56,43
Pointed Gourd(Local),2023-11-08,Kg,54,74,64
Snake Gourd,2023-11-08,Kg,44,59,51
Sponge Gourd,2023-11-08,Kg,47,70,58
Pumpkin,2023-11-08,Kg,31,45,38
Squash(Long),2023-11-08,Kg,34,54,44
Okra,2023-11-08,Kg,63,72,67
Arum,2023-11-08,Kg,50,64,57
Barela,2023-11-08,Kg,31,51,41
Radish Red,2023-11-08,Kg,26,42,34
Mushroom(Button),2023-11-08,Kg,275,416,345
Mushroom(Kanya),2023-11-08,Kg,119,185,152
Spinach Leaf,2023-11-08,Kg,81,106,93
Mustard Leaf,2023-11-08,Kg,34,48,41
Coriander,2023-11-08,Kg,124,210,167
Garlic Dry Nepali,2023-11-08,Kg,159,243,201
Garlic Dry Chinese,2023-11-08,Kg,222,307,264
Ginger,2023-11-08,Kg,122,201,161
Chilly Green,2023-11-08,Kg,64,110,87
Capsicum,2023-11-08,Kg,91,119,105
Cucumber(Local),2023-11-08,Kg,46,86,66
Apple(Jholey),2023-11-08,Kg,132,215,173
Banana,2023-11-08,Dozen,76,135,105
Pomegranate,2023-11-08,Kg,193,288,240
Orange(Nepali),2023-11-08,Kg,72,104,88
Papaya(Indian),2023-11-08,Kg,66,101,83
Tomato Big(Nepali),2023-11-09,Kg,30,55,42
Tomato Small(Local),2023-11-09,Kg,27,41,34
Potato Red,2023-11-09,Kg,39,59,49
Potato White,2023-11-09,Kg,32,50,41
Onion Dry (Indian),2023-11-09,Kg,48,75,61
Carrot(Local),2023-11-09,Kg,71,88,79
Cabbage(Local),2023-11-09,Kg,24,40,32
Cauliflower Local,2023-11-09,Kg,38,68,53
Raddish White(Local),2023-11-09,Kg,16,33,24
Brinjal Long,2023-11-09,Kg,36,55,45
Cow pea(Long),2023-11-09,Kg,58,83,70
Green Peas,2023-11-09,Kg,99,122,110
French Bean(Local),2023-11-09,Kg,46,76,61
Bitter Gourd,2023-11-09,Kg,66,107,86
Bottle Gourd,2023-11-09,Kg,35,51,43
Pointed Gourd(Local),2023-11-09,Kg,49,76,62
Snake Gourd,2023-11-09,Kg,41,59,50
Sponge Gourd,2023-11-09,Kg,48,74,61
Pumpkin,2023-11-09,Kg,28,48,38
Squash(Long),2023-11-09,Kg,34,48,41
Okra,2023-11-09,Kg,60,77,68
Arum,2023-11-09,Kg,53,75,64
Barela,2023-11-09,Kg,32,46,39
Radish Red,2023-11-09,Kg,26,38,32
Mushroom(Button),2023-11-09,Kg,317,368,342
Mushroom(Kanya),2023-11-09,Kg,116,162,139
Spinach Leaf,2023-11-09,Kg,81,116,98
Mustard Leaf,2023-11-09,Kg,35,56,45
Coriander,2023-11-09,Kg,129,223,176
Garlic Dry Nepali,2023-11-09,Kg,163,269,216
Garlic Dry Chinese,2023-11-09,Kg,201,257,229
Ginger,2023-11-09,Kg,118,197,157
Chilly Green,2023-11-09,Kg,71,100,85
Capsicum,2023-11-09,Kg,80,114,97
Cucumber(Local),2023-11-09,Kg,54,74,64
Apple(Jholey),2023-11-09,Kg,129,211,170
Banana,2023-11-09,Dozen,79,119,99
Pomegranate,2023-11-09,Kg,208,336,272
Orange(Nepali),2023-11-09,Kg,64,117,90
Papaya(Indian),2023-11-09,Kg,70,92,81
Tomato Big(Nepali),2023-11-10,Kg,33,57,45
Tomato Small(Local),2023-11-10,Kg,24,41,32
Potato Red,2023-11-10,Kg,38,64,51
Potato White,2023-11-10,Kg,31,48,39
Onion Dry (Indian),2023-11-10,Kg,50,83,66
Carrot(Local),2023-11-10,Kg,73,106,89
Cabbage(Local),2023-11-10,Kg,24,39,31
Cauliflower Local,2023-11-10,Kg,44,75,59
Raddish White(Local),2023-11-10,Kg,15,30,22
Brinjal Long,2023-11-10,Kg,37,62,49
Cow pea(Long),2023-11-10,Kg,63,90,76
Green Peas,2023-11-10,Kg,99,143,121
French Bean(Local),2023-11-10,Kg,51,72,61
Bitter Gourd,2023-11-10,Kg,70,103,86
Bottle Gourd,2023-11-10,Kg,33,56,44
Pointed Gourd(Local),2023-11-10,Kg,51,87,69
Snake Gourd,2023-11-10,Kg,42,59,50
Sponge Gourd,2023-11-10,Kg,53,73,63
Pumpkin,2023-11-10,Kg,30,41,35
Squash(Long),2023-11-10,Kg,30,49,39
Okra,2023-11-10,Kg,54,86,70
Arum,2023-11-10,Kg,48,77,62
Barela,2023-11-10,Kg,33,48,40
Radish Red,2023-11-10,Kg,23,40,31
Mushroom(Button),2023-11-10,Kg,296,375,335
Mushroom(Kanya),2023-11-10,Kg,124,180,152
Spinach Leaf,2023-11-10,Kg,71,103,87
Mustard Leaf,2023-11-10,Kg,36,51,43
Coriander,2023-11-10,Kg,118,205,161
Garlic Dry Nepali,2023-11-10,Kg,167,240,203
Garlic Dry Chinese,2023-11-10,Kg,218,267,242
Ginger,2023-11-10,Kg,116,180,148
Chilly Green,2023-11-10,Kg,69,108,88
Capsicum,2023-11-10,Kg,84,131,107
Cucumber(Local),2023-11-10,Kg,54,83,68
Apple(Jholey),2023-11-10,Kg,125,237,181
Banana,2023-11-10,Dozen,86,132,109
Pomegranate,2023-11-10,Kg,190,303,246
Orange(Nepali),2023-11-10,Kg,61,110,85
Papaya(Indian),2023-11-10,Kg,61,97,79
Tomato Big(Nepali),2023-11-11,Kg,36,56,46
Tomato Small(Local),2023-11-11,Kg,23,43,33
Potato Red,2023-11-11,Kg,41,63,52
Potato White,2023-11-11,Kg,35,46,40
Onion Dry (Indian),2023-11-11,Kg,55,78,66
Carrot(Local),2023-11-11,Kg,65,100,82
Cabbage(Local),2023-11-11,Kg,26,37,31
Cauliflower Local,2023-11-11,Kg,39,65,52
Raddish White(Local),2023-11-11,Kg,17,29,23
Brinjal Long,2023-11-11,Kg,37,56,46
Cow pea(Long),2023-11-11,Kg,57,92,74
Green Peas,2023-11-11,Kg,94,137,115
French Bean(Local),2023-11-11,Kg,52,71,61
Bitter Gourd,2023-11-11,Kg,72,98,85
Bottle Gourd,2023-11-11,Kg,33,49,41
Pointed Gourd(Local),2023-11-11,Kg,47,76,61
Snake Gourd,2023-11-11,Kg,40,66,53
Sponge Gourd,2023-11-11,Kg,48,73,60
Pumpkin,2023-11-11,Kg,27,45,36
Squash(Long),2023-11-11,Kg,30,53,41
Okra,2023-11-11,Kg,61,79,70
Arum,2023-11-11,Kg,55,70,62
Barela,2023-11-11,Kg,31,49,40
Radish Red,2023-11-11,Kg,24,36,30
Mushroom(Button),2023-11-11,Kg,291,383,337
Mushroom(Kanya),2023-11-11,Kg,134,192,163
Spinach Leaf,2023-11-11,Kg,74,105,89
Mustard Leaf,2023-11-11,Kg,34,52,43
Coriander,2023-11-11,Kg,120,221,170
Garlic Dry Nepali,2023-11-11,Kg,170,261,215
Garlic Dry Chinese,2023-11-11,Kg,222,307,264
Ginger,2023-11-11,Kg,128,189,158
Chilly Green,2023-11-11,Kg,72,107,89
Capsicum,2023-11-11,Kg,92,132,112
Cucumber(Local),2023-11-11,Kg,51,86,68
Apple(Jholey),2023-11-11,Kg,121,225,173
Banana,2023-11-11,Dozen,85,123,104
Pomegranate,2023-11-11,Kg,210,313,261
Orange(Nepali),2023-11-11,Kg,72,114,93
Papaya(Indian),2023-11-11,Kg,66,105,85
Tomato Big(Nepali),2023-11-12,Kg,36,54,45
Tomato Small(Local),2023-11-12,Kg,26,45,35
Potato Red,2023-11-12,Kg,45,61,53
Potato White,2023-11-12,Kg,36,50,43
Onion Dry (Indian),2023-11-12,Kg,52,77,64
Carrot(Local),2023-11-12,Kg,72,100,86
Cabbage(Local),2023-11-12,Kg,27,40,33
Cauliflower Local,2023-11-12,Kg,40,76,58
Raddish White(Local),2023-11-12,Kg,17,30,23
Brinjal Long,2023-11-12,Kg,36,58,47
Cow pea(Long),2023-11-12,Kg,62,89,75
Green Peas,2023-11-12,Kg,109,144,126
French Bean(Local),2023-11-12,Kg,47,81,64
Bitter Gourd,2023-11-12,Kg,73,106,89
Bottle Gourd,2023-11-12,Kg,31,51,41
Pointed Gourd(Local),2023-11-12,Kg,49,83,66
Snake Gourd,2023-11-12,Kg,40,62,51
Sponge Gourd,2023-11-12,Kg,54,80,67
Pumpkin,2023-11-12,Kg,32,47,39
Squash(Long),2023-11-12,Kg,34,52,43
Okra,2023-11-12,Kg,55,87,71
Arum,2023-11-12,Kg,46,67,56
Barela,2023-11-12,Kg,36,51,43
Radish Red,2023-11-12,Kg,24,37,30
Mushroom(Button),2023-11-12,Kg,278,428,353
Mushroom(Kanya),2023-11-12,Kg,129,177,153
Spinach Leaf,2023-11-12,Kg,73,116,94
Mustard Leaf,2023-11-12,Kg,36,56,46
Coriander,2023-11-12,Kg,138,219,178
Garlic Dry Nepali,2023-11-12,Kg,166,266,216
Garlic Dry Chinese,2023-11-12,Kg,193,306,249
Ginger,2023-11-12,Kg,116,203,159
Chilly Green,2023-11-12,Kg,65,116,90
Capsicum,2023-11-12,Kg,77,133,105
Cucumber(Local),2023-11-12,Kg,55,80,67
Apple(Jholey),2023-11-12,Kg,129,226,177
Banana,2023-11-12,Dozen,87,133,110
Pomegranate,2023-11-12,Kg,215,306,260
Orange(Nepali),2023-11-12,Kg,69,112,90
Papaya(Indian),2023-11-12,Kg,72,89,80
Tomato Big(Nepali),2023-11-13,Kg,33,54,43
Tomato Small(Local),2023-11-13,Kg,25,41,33
Potato Red,2023-11-13,Kg,38,56,47
Potato White,2023-11-13,Kg,32,48,40
Onion Dry (Indian),2023-11-13,Kg,49,77,63
Carrot(Local),2023-11-13,Kg,62,97,79
Cabbage(Local),2023-11-13,Kg,23,37,30
Cauliflower Local,2023-11-13,Kg,39,69,54
Raddish White(Local),2023-11-13,Kg,16,31,23
Brinjal Long,2023-11-13,Kg,36,56,46
Cow pea(Long),2023-11-13,Kg,54,87,70
Green Peas,2023-11-13,Kg,95,139,117
French Bean(Local),2023-11-13,Kg,54,71,62
Bitter Gourd,2023-11-13,Kg,64,107,85
Bottle Gourd,2023-11-13,Kg,36,58,47
Pointed Gourd(Local),2023-11-13,Kg,53,73,63
Snake Gourd,2023-11-13,Kg,42,68,55
Sponge Gourd,2023-11-13,Kg,46,77,61
Pumpkin,2023-11-13,Kg,30,48,39
Squash(Long),2023-11-13,Kg,32,56,44
Okra,2023-11-13,Kg,58,85,71
Arum,2023-11-13,Kg,55,70,62
Barela,2023-11-13,Kg,35,52,43
Radish Red,2023-11-13,Kg,25,37,31
Mushroom(Button),2023-11-13,Kg,271,397,334
Mushroom(Kanya),2023-11-13,Kg,132,186,159
Spinach Leaf,2023-11-13,Kg,81,116,98
Mustard Leaf,2023-11-13,Kg,36,54,45
Coriander,2023-11-13,Kg,123,220,171
Garlic Dry Nepali,2023-11-13,Kg,185,238,211
Garlic Dry Chinese,2023-11-13,Kg,212,270,241
Ginger,2023-11-13,Kg,136,189,162
Chilly Green,2023-11-13,Kg,73,108,90
Capsicum,2023-11-13,Kg,87,136,111
Cucumber(Local),2023-11-13,Kg,48,75,61
Apple(Jholey),2023-11-13,Kg,123,229,176
Banana,2023-11-13,Dozen,87,122,104
Pomegranate,2023-11-13,Kg,205,297,251
Orange(Nepali),2023-11-13,Kg,66,116,91
Papaya(Indian),2023-11-13,Kg,71,95,83
Tomato Big(Nepali),2023-11-14,Kg,32,48,40
Tomato Small(Local),2023-11-14,Kg,27,48,37
Potato Red,2023-11-14,Kg,39,63,51
Potato White,2023-11-14,Kg,37,49,43
Onion Dry (Indian),2023-11-14,Kg,54,82,68
Carrot(Local),2023-11-14,Kg,68,99,83
Cabbage(Local),2023-11-14,Kg,26,36,31
Cauliflower Local,2023-11-14,Kg,39,78,58
Raddish White(Local),2023-11-14,Kg,15,31,23
Brinjal Long,2023-11-14,Kg,36,62,49
Cow pea(Long),2023-11-14,Kg,61,82,71
Green Peas,2023-11-14,Kg,110,133,121
French Bean(Local),2023-11-14,Kg,54,82,68
Bitter Gourd,2023-11-14,Kg,67,103,85
Bottle Gourd,2023-11-14,Kg,33,57,45
Pointed Gourd(Local),2023-11-14,Kg,56,76,66
Snake Gourd,2023-11-14,Kg,42,61,51
Sponge Gourd,2023-11-14,Kg,46,81,63
Pumpkin,2023-11-14,Kg,32,41,36
Squash(Long),2023-11-14,Kg,33,58,45
Okra,2023-11-14,Kg,62,81,71
Arum,2023-11-14,Kg,48,68,58
Barela,2023-11-14,Kg,34,47,40
Radish Red,2023-11-14,Kg,27,37,32
Mushroom(Button),2023-11-14,Kg,290,412,351
Mushroom(Kanya),2023-11-14,Kg,140,180,160
Spinach Leaf,2023-11-14,Kg,77,100,88
Mustard Leaf,2023-11-14,Kg,31,52,41
Coriander,2023-11-14,Kg,116,235,175
Garlic Dry Nepali,2023-11-14,Kg,179,272,225
Garlic Dry Chinese,2023-11-14,Kg,233,296,264
Ginger,2023-11-14,Kg,131,210,170
Chilly Green,2023-11-14,Kg,69,105,87
Capsicum,2023-11-14,Kg,77,127,102
Cucumber(Local),2023-11-14,Kg,55,75,65
Apple(Jholey),2023-11-14,Kg,126,217,171
Banana,2023-11-14,Dozen,91,131,111
Pomegranate,2023-11-14,Kg,217,308,262
Orange(Nepali),2023-11-14,Kg,61,123,92
Papaya(Indian),2023-11-14,Kg,64,104,84
Tomato Big(Nepali),2023-11-15,Kg,32,56,44
Tomato Small(Local),2023-11-15,Kg,24,48,36
Potato Red,2023-11-15,Kg,42,58,50
Potato White,2023-11-15,Kg,37,53,45
Onion Dry (Indian),2023-11-15,Kg,55,73,64
Carrot(Local),2023-11-15,Kg,68,103,85
Cabbage(Local),2023-11-15,Kg,27,38,32
Cauliflower Local,2023-11-15,Kg,39,77,58
Raddish White(Local),2023-11-15,Kg,15,29,22
Brinjal Long,2023-11-15,Kg,41,56,48
Cow pea(Long),2023-11-15,Kg,65,86,75
Green Peas,2023-11-15,Kg,93,131,112
French Bean(Local),2023-11-15,Kg,47,82,64
Bitter Gourd,2023-11-15,Kg,67,111,89
Bottle Gourd,2023-11-15,Kg,34,57,45
Pointed Gourd(Local),2023-11-15,Kg,46,73,59
Snake Gourd,2023-11-15,Kg,46,62,54
Sponge Gourd,2023-11-15,Kg,49,74,61
Pumpkin,2023-11-15,Kg,29,45,37
Squash(Long),2023-11-15,Kg,37,58,47
Okra,2023-11-15,Kg,61,81,71
Arum,2023-11-15,Kg,48,68,58
Barela,2023-11-15,Kg,35,49,42
Radish Red,2023-11-15,Kg,27,44,35
Mushroom(Button),2023-11-15,Kg,285,391,338
Mushroom(Kanya),2023-11-15,Kg,138,179,158
Spinach Leaf,2023-11-15,Kg,69,103,86
Mustard Leaf,2023-11-15,Kg,33,51,42
Coriander,2023-11-15,Kg,129,227,178
Garlic Dry Nepali,2023-11-15,Kg,188,259,223
Garlic Dry Chinese,2023-11-15,Kg,197,298,247
Ginger,2023-11-15,Kg,137,192,164
Chilly Green,2023-11-15,Kg,70,117,93
Capsicum,2023-11-15,Kg,78,130,104
Cucumber(Local),2023-11-15,Kg,55,85,70
Apple(Jholey),2023-11-15,Kg,121,244,182
Banana,2023-11-15,Dozen,92,121,106
Pomegranate,2023-11-15,Kg,231,343,287
Orange(Nepali),2023-11-15,Kg,68,127,97
Papaya(Indian),2023-11-15,Kg,64,102,83
Tomato Big(Nepali),2023-11-16,Kg,31,51,41
Tomato Small(Local),2023-11-16,Kg,23,44,33
Potato Red,2023-11-16,Kg,45,68,56
Potato White,2023-11-16,Kg,31,53,42
Onion Dry (Indian),2023-11-16,Kg,46,84,65
Carrot(Local),2023-11-16,Kg,73,105,89
Cabbage(Local),2023-11-16,Kg,26,36,31
Cauliflower Local,2023-11-16,Kg,46,78,62
Raddish White(Local),2023-11-16,Kg,16,30,23
Brinjal Long,2023-11-16,Kg,36,55,45
Cow pea(Long),2023-11-16,Kg,57,82,69
Green Peas,2023-11-16,Kg,112,129,120
French Bean(Local),2023-11-16,Kg,56,69,62
Bitter Gourd,2023-11-16,Kg,72,101,86
Bottle Gourd,2023-11-16,Kg,37,59,48
Pointed Gourd(Local),2023-11-16,Kg,51,88,69
Snake Gourd,2023-11-16,Kg,45,64,54
Sponge Gourd,2023-11-16,Kg,49,75,62
Pumpkin,2023-11-16,Kg,28,47,37
Squash(Long),2023-11-16,Kg,37,57,47
Okra,2023-11-16,Kg,61,88,74
Arum,2023-11-16,Kg,48,71,59
Barela,2023-11-16,Kg,34,47,40
Radish Red,2023-11-16,Kg,25,40,32
Mushroom(Button),2023-11-16,Kg,286,383,334
Mushroom(Kanya),2023-11-16,Kg,127,185,156
Spinach Leaf,2023-11-16,Kg,79,118,98
Mustard Leaf,2023-11-16,Kg,32,56,44
Coriander,2023-11-16,Kg,134,244,189
Garlic Dry Nepali,2023-11-16,Kg,175,250,212
Garlic Dry Chinese,2023-11-16,Kg,235,313,274
Ginger,2023-11-16,Kg,124,188,156
Chilly Green,2023-11-16,Kg,63,110,86
Capsicum,2023-11-16,Kg,79,136,107
Cucumber(Local),2023-11-16,Kg,52,84,68
Apple(Jholey),2023-11-16,Kg,121,241,181
Banana,2023-11-16,Dozen,92,120,106
Pomegranate,2023-11-16,Kg,232,300,266
Orange(Nepali),2023-11-16,Kg,75,123,99
Papaya(Indian),2023-11-16,Kg,65,102,83
Tomato Big(Nepali),2023-11-17,Kg,37,58,47
Tomato Small(Local),2023-11-17,Kg,24,49,36
Potato Red,2023-11-17,Kg,39,57,48
Potato White,2023-11-17,Kg,34,53,43
Onion Dry (Indian),2023-11-17,Kg,54,76,65
Carrot(Local),2023-11-17,Kg,70,95,82
Cabbage(Local),2023-11-17,Kg,23,39,31
Cauliflower Local,2023-11-17,Kg,41,78,59
Raddish White(Local),2023-11-17,Kg,15,31,23
Brinjal Long,2023-11-17,Kg,39,55,47
Cow pea(Long),2023-11-17,Kg,57,87,72
Green Peas,2023-11-17,Kg,109,140,124
French Bean(Local),2023-11-17,Kg,55,79,67
Bitter Gourd,2023-11-17,Kg,73,101,87
Bottle Gourd,2023-11-17,Kg,34,58,46
Pointed Gourd(Local),2023-11-17,Kg,49,75,62
Snake Gourd,2023-11-17,Kg,40,64,52
Sponge Gourd,2023-11-17,Kg,52,81,66
Pumpkin,2023-11-17,Kg,30,41,35
Squash(Long),2023-11-17,Kg,31,58,44
Okra,2023-11-17,Kg,57,77,67
Arum,2023-11-17,Kg,55,70,62
Barela,2023-11-17,Kg,33,49,41
Radish Red,2023-11-17,Kg,25,40,32
Mushroom(Button),2023-11-17,Kg,294,403,348
Mushroom(Kanya),2023-11-17,Kg,141,176,158
Spinach Leaf,2023-11-17,Kg,83,116,99
Mustard Leaf,2023-11-17,Kg,37,58,47
Coriander,2023-11-17,Kg,124,213,168
Garlic Dry Nepali,2023-11-17,Kg,176,235,205
Garlic Dry Chinese,2023-11-17,Kg,234,288,261
Ginger,2023-11-17,Kg,128,216,172
Chilly Green,2023-11-17,Kg,71,115,93
Capsicum,2023-11-17,Kg,78,118,98
Cucumber(Local),2023-11-17,Kg,47,75,61
Apple(Jholey),2023-11-17,Kg,121,245,183
Banana,2023-11-17,Dozen,93,137,115
Pomegranate,2023-11-17,Kg,197,333,265
Orange(Nepali),2023-11-17,Kg,63,124,93
Papaya(Indian),2023-11-17,Kg,71,90,80
Tomato Big(Nepali),2023-11-18,Kg,35,58,46
Tomato Small(Local),2023-11-18,Kg,24,45,34
Potato Red,2023-11-18,Kg,43,68,55
Potato White,2023-11-18,Kg,34,52,43
Onion Dry (Indian),2023-11-18,Kg,53,78,65
Carrot(Local),2023-11-18,Kg,74,100,87
Cabbage(Local),2023-11-18,Kg,28,39,33
Cauliflower Local,2023-11-18,Kg,41,68,54
Raddish White(Local),2023-11-18,Kg,15,30,22
Brinjal Long,2023-11-18,Kg,40,56,48
Cow pea(Long),2023-11-18,Kg,56,95,75
Green Peas,2023-11-18,Kg,100,134,117
French Bean(Local),2023-11-18,Kg,51,84,67
Bitter Gourd,2023-11-18,Kg,64,103,83
Bottle Gourd,2023-11-18,Kg,37,59,48
Pointed Gourd(Local),2023-11-18,Kg,50,88,69
Snake Gourd,2023-11-18,Kg,39,64,51
Sponge Gourd,2023-11-18,Kg,54,80,67
Pumpkin,2023-11-18,Kg,31,46,38
Squash(Long),2023-11-18,Kg,37,54,45
Okra,2023-11-18,Kg,60,78,69
Arum,2023-11-18,Kg,50,76,63
Barela,2023-11-18,Kg,33,53,43
Radish Red,2023-11-18,Kg,24,43,33
Mushroom(Button),2023-11-18,Kg,288,441,364
Mushroom(Kanya),2023-11-18,Kg,130,184,157
Spinach Leaf,2023-11-18,Kg,82,104,93
Mustard Leaf,2023-11-18,Kg,32,55,43
Coriander,2023-11-18,Kg,134,239,186
Garlic Dry Nepali,2023-11-18,Kg,169,244,206
Garlic Dry Chinese,2023-11-18,Kg,196,296,246
Ginger,2023-11-18,Kg,129,215,172
Chilly Green,2023-11-18,Kg,63,115,89
Capsicum,2023-11-18,Kg,89,117,103
Cucumber(Local),2023-11-18,Kg,49,75,62
Apple(Jholey),2023-11-18,Kg,136,211,173
Banana,2023-11-18,Dozen,81,129,105
Pomegranate,2023-11-18,Kg,207,302,254
Orange(Nepali),2023-11-18,Kg,65,124,94
Papaya(Indian),2023-11-18,Kg,74,94,84
Tomato Big(Nepali),2023-11-19,Kg,36,58,47
Tomato Small(Local),2023-11-19,Kg,23,47,35
Potato Red,2023-11-19,Kg,42,68,55
Potato White,2023-11-19,Kg,37,54,45
Onion Dry (Indian),2023-11-19,Kg,52,86,69
Carrot(Local),2023-11-19,Kg,63,95,79
Cabbage(Local),2023-11-19,Kg,27,39,33
Cauliflower Local,2023-11-19,Kg,39,73,56
Raddish White(Local),2023-11-19,Kg,17,34,25
Brinjal Long,2023-11-19,Kg,38,59,48
Cow pea(Long),2023-11-19,Kg,59,96,77
Green Peas,2023-11-19,Kg,108,148,128
